"country","dataset_name","extension","path_input_folder","local_crs","id","height","type_source","age","floors","footprint","type_map","bldg_elem","extra","extra_attrib","gadm_level","gadm_name"
"austria","Austria-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/austria","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"belgium","Belgium-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/belgium","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"bulgaria","Bulgaria-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/bulgaria","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"croatia","Croatia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/croatia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"cyprus","Cyprus-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/cyprus","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"czechia","Czechia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/czechia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"denmark","Denmark-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/denmark","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"estonia","Estonia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/estonia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"finland","Finland-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/finland","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"france","France-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/france","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"germany","Germany-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/germany","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"greece","Greece-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/greece","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"hungary","Hungary-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/hungary","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"ireland","Ireland-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/ireland","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"italy","Italy-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/italy","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"latvia","Latvia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/latvia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"lithuania","Lithuania-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/lithuania","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"luxembourg","Luxembourg-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/luxembourg","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"malta","Malta-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/malta","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"netherlands","Netherlands-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/netherlands","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"poland","Poland-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/poland","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"portugal","Portugal-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/portugal","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"romania","Romania-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/romania","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"slovakia","Slovakia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/slovakia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"slovenia","Slovenia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/slovenia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"spain","Spain-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/spain","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"sweden","Sweden-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/sweden","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
"switzerland","Switzerland-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft/switzerland","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all"
