"country","dataset_name","extension","path_input_folder","local_crs","id","height","type_source","age","floors","footprint","type_map","bldg_elem","extra","extra_attrib","nuts_level","nuts_name","is_has_lau_nuts3"
"austria","Austria-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Austria","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"belgium","Belgium-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Belgium","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"bulgaria","Bulgaria-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Bulgaria","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"croatia","Croatia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Croatia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"cyprus","Cyprus-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Cyprus","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"czechia","Czechia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Czechia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"denmark","Denmark-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Denmark","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"estonia","Estonia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Estonia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"finland","Finland-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Finland","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"france","France-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/France","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"germany","Germany-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Germany","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"greece","Greece-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Greece","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"hungary","Hungary-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Hungary","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"ireland","Ireland-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Ireland","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"italy","Italy-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Italy","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"latvia","Latvia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Latvia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"lithuania","Lithuania-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Lithuania","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"luxembourg","Luxembourg-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Luxembourg","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"malta","Malta-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Malta","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"netherlands","Netherlands-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Netherlands","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"poland","Poland-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Poland","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"portugal","Portugal-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Portugal","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"romania","Romania-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Romania","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"slovakia","Slovakia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Slovakia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"slovenia","Slovenia-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Slovenia","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"spain","Spain-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Spain","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"sweden","Sweden-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Sweden","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"switzerland","Switzerland-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Switzerland","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"norway","Norway-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/Norway","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
"uk","UK-msft","csv.gz","/p/projects/eubucco/data/0-raw-data/microsoft-242/UnitedKingdom","EPSG:4326","None","height","None","None","None","None","None","None","None","['confidence']","all","all","no"
