"country","dataset_name","extension","path_input_folder","local_crs","id","height","type_source","age","floors","footprint","type_map","bldg_elem","extra","extra_attrib","gadm_level","gadm_name"
"austria","austria-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/austria","EPSG:3416","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","rest","rest"
"bulgaria","bulgaria-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/bulgaria","EPSG:7801","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"croatia","croatia-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/croatia","EPSG:3765","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"germany","germany-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/germany","EPSG:5243","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","rest","rest"
"greece","greece-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/greece","EPSG:2100","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"hungary","hungary-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/hungary","EPSG:23700","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"ireland","ireland-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/ireland_and_northern_ireland","EPSG:29902","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"italy","italy-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/italy","EPSG:7794","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","rest","rest"
"latvia","latvia-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/latvia","EPSG:3059","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"portugal","portugal-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/portugal","EPSG:3763","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"romania","romania-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/romania","EPSG:31600","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"sweden","sweden-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/sweden","EPSG:3152","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']","all","all"
"spain","spain-osm","pbf","/p/projects/eubucco/data/0-raw-data/osm-pbf-24/spain","EPSG:2062","None","height","building","start_date","building:levels","None","None","None","None","['building:use','amenity','building:material']",,
