country,LAU_ID,NUTS_ID_3,NUTS_ID_region
czechia,CZ579271,CZ052,CZ0
czechia,CZ579289,CZ032,CZ0
czechia,CZ579297,CZ052,CZ0
czechia,CZ579301,CZ052,CZ0
czechia,CZ579319,CZ052,CZ0
czechia,CZ579327,CZ052,CZ0
czechia,CZ579335,CZ052,CZ0
czechia,CZ579343,CZ032,CZ0
czechia,CZ579351,CZ052,CZ0
czechia,CZ579360,CZ041,CZ0
czechia,CZ579378,CZ052,CZ0
czechia,CZ579386,CZ052,CZ0
czechia,CZ579394,CZ052,CZ0
czechia,CZ579408,CZ052,CZ0
czechia,CZ579416,CZ052,CZ0
czechia,CZ579424,CZ052,CZ0
czechia,CZ579432,CZ052,CZ0
czechia,CZ579441,CZ052,CZ0
czechia,CZ579459,CZ032,CZ0
czechia,CZ579467,CZ032,CZ0
czechia,CZ579475,CZ052,CZ0
czechia,CZ579483,CZ052,CZ0
czechia,CZ579491,CZ032,CZ0
czechia,CZ579505,CZ052,CZ0
czechia,CZ579513,CZ052,CZ0
czechia,CZ579530,CZ052,CZ0
czechia,CZ579548,CZ052,CZ0
czechia,CZ579556,CZ052,CZ0
czechia,CZ579564,CZ052,CZ0
czechia,CZ579581,CZ052,CZ0
czechia,CZ579599,CZ052,CZ0
czechia,CZ579602,CZ052,CZ0
czechia,CZ579629,CZ052,CZ0
czechia,CZ579637,CZ052,CZ0
czechia,CZ579645,CZ052,CZ0
czechia,CZ579661,CZ052,CZ0
czechia,CZ579696,CZ052,CZ0
czechia,CZ579726,CZ052,CZ0
czechia,CZ579734,CZ052,CZ0
czechia,CZ579742,CZ052,CZ0
czechia,CZ579751,CZ052,CZ0
czechia,CZ579769,CZ052,CZ0
czechia,CZ579777,CZ052,CZ0
czechia,CZ579785,CZ052,CZ0
czechia,CZ579793,CZ052,CZ0
czechia,CZ579815,CZ052,CZ0
czechia,CZ579823,CZ052,CZ0
czechia,CZ579831,CZ052,CZ0
czechia,CZ579858,CZ052,CZ0
czechia,CZ579866,CZ052,CZ0
czechia,CZ579874,CZ052,CZ0
czechia,CZ579891,CZ053,CZ0
czechia,CZ579947,CZ053,CZ0
czechia,CZ579963,CZ053,CZ0
czechia,CZ579971,CZ053,CZ0
czechia,CZ579980,CZ053,CZ0
czechia,CZ579998,CZ053,CZ0
czechia,CZ580015,CZ053,CZ0
czechia,CZ580023,CZ053,CZ0
czechia,CZ580031,CZ053,CZ0
czechia,CZ580040,CZ053,CZ0
czechia,CZ580058,CZ053,CZ0
czechia,CZ580066,CZ053,CZ0
czechia,CZ580074,CZ053,CZ0
czechia,CZ580091,CZ053,CZ0
czechia,CZ580112,CZ053,CZ0
czechia,CZ580121,CZ053,CZ0
czechia,CZ580147,CZ053,CZ0
czechia,CZ580163,CZ053,CZ0
czechia,CZ580210,CZ053,CZ0
czechia,CZ580228,CZ053,CZ0
czechia,CZ580261,CZ053,CZ0
czechia,CZ580279,CZ053,CZ0
czechia,CZ580295,CZ053,CZ0
czechia,CZ580325,CZ053,CZ0
czechia,CZ580333,CZ053,CZ0
czechia,CZ580341,CZ053,CZ0
czechia,CZ580350,CZ053,CZ0
czechia,CZ580376,CZ053,CZ0
czechia,CZ580392,CZ053,CZ0
czechia,CZ580406,CZ053,CZ0
czechia,CZ580414,CZ053,CZ0
czechia,CZ580422,CZ053,CZ0
czechia,CZ580431,CZ053,CZ0
czechia,CZ580465,CZ053,CZ0
czechia,CZ580481,CZ053,CZ0
czechia,CZ580490,CZ053,CZ0
czechia,CZ580503,CZ053,CZ0
czechia,CZ580511,CZ053,CZ0
czechia,CZ580538,CZ053,CZ0
czechia,CZ580562,CZ053,CZ0
czechia,CZ580571,CZ053,CZ0
czechia,CZ580589,CZ053,CZ0
czechia,CZ580619,CZ053,CZ0
czechia,CZ580627,CZ053,CZ0
czechia,CZ580635,CZ053,CZ0
czechia,CZ580643,CZ053,CZ0
czechia,CZ580651,CZ053,CZ0
czechia,CZ580660,CZ053,CZ0
czechia,CZ580678,CZ053,CZ0
czechia,CZ580686,CZ053,CZ0
czechia,CZ580694,CZ053,CZ0
czechia,CZ580708,CZ053,CZ0
czechia,CZ580716,CZ053,CZ0
czechia,CZ574163,CZ052,CZ0
czechia,CZ574171,CZ052,CZ0
czechia,CZ574180,CZ052,CZ0
czechia,CZ574198,CZ053,CZ0
czechia,CZ574201,CZ051,CZ0
czechia,CZ574210,CZ052,CZ0
czechia,CZ574228,CZ052,CZ0
czechia,CZ574236,CZ052,CZ0
czechia,CZ574244,CZ052,CZ0
czechia,CZ574252,CZ052,CZ0
czechia,CZ574261,CZ052,CZ0
czechia,CZ574279,CZ052,CZ0
czechia,CZ574287,CZ052,CZ0
czechia,CZ574295,CZ052,CZ0
czechia,CZ574309,CZ053,CZ0
czechia,CZ574317,CZ052,CZ0
czechia,CZ574325,CZ053,CZ0
czechia,CZ574333,CZ053,CZ0
czechia,CZ574341,CZ052,CZ0
czechia,CZ574350,CZ052,CZ0
czechia,CZ574368,CZ052,CZ0
czechia,CZ574376,CZ052,CZ0
czechia,CZ574384,CZ052,CZ0
czechia,CZ574392,CZ053,CZ0
czechia,CZ574406,CZ052,CZ0
czechia,CZ574422,CZ052,CZ0
czechia,CZ574431,CZ052,CZ0
czechia,CZ574449,CZ053,CZ0
czechia,CZ574457,CZ052,CZ0
czechia,CZ574465,CZ052,CZ0
czechia,CZ574481,CZ052,CZ0
czechia,CZ574490,CZ052,CZ0
czechia,CZ574511,CZ052,CZ0
czechia,CZ574538,CZ052,CZ0
czechia,CZ574546,CZ052,CZ0
czechia,CZ574554,CZ052,CZ0
czechia,CZ574562,CZ052,CZ0
czechia,CZ574571,CZ052,CZ0
czechia,CZ574589,CZ052,CZ0
czechia,CZ574597,CZ052,CZ0
czechia,CZ574601,CZ052,CZ0
czechia,CZ574627,CZ052,CZ0
czechia,CZ574635,CZ052,CZ0
czechia,CZ574643,CZ052,CZ0
czechia,CZ574651,CZ052,CZ0
czechia,CZ574660,CZ052,CZ0
czechia,CZ574686,CZ052,CZ0
czechia,CZ574694,CZ052,CZ0
czechia,CZ574708,CZ052,CZ0
czechia,CZ574724,CZ053,CZ0
czechia,CZ574741,CZ053,CZ0
czechia,CZ574767,CZ053,CZ0
czechia,CZ574783,CZ053,CZ0
czechia,CZ574791,CZ053,CZ0
czechia,CZ574805,CZ053,CZ0
czechia,CZ574813,CZ053,CZ0
czechia,CZ574821,CZ053,CZ0
czechia,CZ574830,CZ053,CZ0
czechia,CZ574848,CZ053,CZ0
czechia,CZ574856,CZ053,CZ0
czechia,CZ574864,CZ053,CZ0
czechia,CZ574899,CZ053,CZ0
czechia,CZ574902,CZ053,CZ0
