region,type_source,type,type_v01,residential_type,remove,english_name,source_datasets
abruzzo,Abitativa,residential,residential,,False,Housing,gov-italy-abruzzo
abruzzo,Agricolturale,agricultural,non-residential,,False,Agricultural,gov-italy-abruzzo
abruzzo,Industriale,industrial,non-residential,,False,Industrial,gov-italy-abruzzo
abruzzo,Luogo di culto,public,non-residential,,False,Place of worship,gov-italy-abruzzo
abruzzo,Municipio,public,non-residential,,False,Municipality,gov-italy-abruzzo
abruzzo,Non conosciuto,,unknown,,False,Unknown,gov-italy-abruzzo
czechia,Agriculture,agricultural,non-residential,,False,Agriculture,gov-czechia
czechia,Ancillary,others,non-residential,,False,Ancillary,gov-czechia
czechia,CollectiveResidence,residential,residential,apartment block,False,CollectiveResidence,gov-czechia
czechia,CommerceAndServices,commercial,non-residential,,False,CommerceAndServices,gov-czechia
czechia,IndividualResidence,residential,residential,detached single-family house,False,IndividualResidence,gov-czechia
czechia,Industrial,industrial,non-residential,,False,Industrial,gov-czechia
czechia,Office,commercial,non-residential,,False,Office,gov-czechia
czechia,PublicServices,public,non-residential,,False,PublicServices,gov-czechia
czechia,Residential,residential,residential,,False,Residential,gov-czechia
czechia,Trade,commercial,non-residential,,False,Trade,gov-czechia
france,Agricole,agricultural,non-residential,,False,Agricole,gov-france
france,Annexe,others,non-residential,,False,Annexe,gov-france
france,Commercial et services,commercial,non-residential,,False,Commercial and services Indifference,gov-france
france,Indifférencié,,,,False,unknown,gov-france
france,Industriel,industrial,non-residential,,False,Industrial,gov-france
france,Religieux,public,non-residential,,False,Regligious,gov-france
france,Religious,public,non-residential,,False,Religious,gov-france
france,Résidentiel,residential,residential,,False,Residence,gov-france
france,Sportif,public,non-residential,,False,Sport facilities,gov-france
germany,31001_1000,residential,residential,,False,residential building,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
germany,31001_1010,residential,residential,,False,residential house,"gov-germany-bavaria,gov-germany-berlin,gov-germany-bremen,gov-germany-hamburg,gov-germany-niedersachsen,gov-germany-sachsen"
